# event No.,GOES start,end,peak,AR location,X-ray class,event loc. (EW),event loc. (NS),SOT,XRT,EIS,RHESSI,NoRH
110020,2014/08/19 05:36,2014/08/19 06:04,2014/08/19 05:48,S13E57,B5.6,-788,-255,0,0,0,no,
110030,2014/08/19 06:14,2014/08/19 07:17,2014/08/19 06:48,S12E57,B8.1,-807,-261,0,0,0,6-12,
110040,2014/08/19 23:22,2014/08/19 23:42,2014/08/19 23:32,N06E58,C1.9,-804,56,0,73,0,no,
110050,2014/08/20 00:04,2014/08/20 00:16,2014/08/20 00:10,S12E46,B9.5,-671,-237,0,11,0,3-6,
110060,2014/08/20 09:01,2014/08/20 09:35,2014/08/20 09:14,N11E88,C1.5,-941,197,0,0,0,no,
110070,2014/08/20 11:50,2014/08/20 12:04,2014/08/20 11:54,S18W87,B7.6,903,-302,0,30,0,no,
110080,2014/08/20 12:38,2014/08/20 12:56,2014/08/20 12:51,N11E88,C4.9,-942,196,0,90,0,25-50,
110090,2014/08/20 15:13,2014/08/20 15:42,2014/08/20 15:23,N07E47,C1.3,-696,43,0,5,0,6-12,
110100,2014/08/20 16:18,2014/08/20 16:27,2014/08/20 16:22,N06E48,C1.8,-711,35,0,17,0,6-12,
110110,2014/08/20 17:43,2014/08/20 18:08,2014/08/20 17:56,N10E88,C2.6,-951,185,0,0,0,6-12,
110120,2014/08/20 18:50,2014/08/20 19:29,2014/08/20 19:11,N10E88,C3.2,-960,179,0,0,0,6-12,
110130,2014/08/20 19:38,2014/08/20 20:03,2014/08/20 19:57,N11E88,C2.9,-959,188,0,0,0,3-6,
110140,2014/08/20 21:39,2014/08/20 22:10,2014/08/20 21:57,N12E23,C2.1,-362,197,0,5,0,3-6,
110150,2014/08/20 23:05,2014/08/20 23:21,2014/08/20 23:15,N11E88,B9.2,-959,195,0,0,0,no,
110160,2014/08/20 23:22,2014/08/20 23:38,2014/08/20 23:31,N11E88,C1.1,-944,200,0,0,0,6-12,
110170,2014/08/21 00:26,2014/08/21 01:05,2014/08/21 00:46,N11E88,C3.2,-961,198,0,0,0,6-12,
110180,2014/08/21 01:12,2014/08/21 02:00,2014/08/21 01:37,N10E88,C3.2,-963,186,0,0,0,12-25,
110190,2014/08/21 03:12,2014/08/21 04:40,2014/08/21 04:06,N08E41,C1.7,-603,29,0,122,0,6-12,
110200,2014/08/21 08:41,2014/08/21 09:01,2014/08/21 08:55,N12E16,B8.8,-257,92,0,19,0,no,
110210,2014/08/21 09:57,2014/08/21 10:36,2014/08/21 10:18,N11E88,C1.2,-944,186,0,0,0,no,
110220,2014/08/21 11:55,2014/08/21 12:03,2014/08/21 11:59,N06E38,C1.2,-583,24,0,14,0,no,
110230,2014/08/21 13:19,2014/08/21 13:42,2014/08/21 13:31,N06E38,M3.4,-580,99,0,41,0,12-25,
110240,2014/08/21 15:45,2014/08/21 15:55,2014/08/21 15:50,N09E86,C2.0,-933,147,0,0,0,12-25,
110250,2014/08/21 18:56,2014/08/21 19:20,2014/08/21 19:04,N11E80,C7.3,-929,145,0,0,0,25-50,
110260,2014/08/21 22:17,2014/08/21 22:57,2014/08/21 22:39,N09E85,C1.2,-932,146,0,26,0,6-12,
110270,2014/08/21 23:54,2014/08/22 00:10,2014/08/22 00:06,N07E32,C6.6,-498,34,0,0,0,12-25,
110280,2014/08/22 00:48,2014/08/22 01:01,2014/08/22 00:54,N10E78,C2.6,-916,143,0,0,0,12-25,
110290,2014/08/22 01:56,2014/08/22 02:05,2014/08/22 02:01,S10E88,C2.5,-944,-181,0,9,0,no,
110300,2014/08/22 02:20,2014/08/22 02:35,2014/08/22 02:26,N09E79,C4.1,-919,132,0,0,0,6-12,
110310,2014/08/22 06:09,2014/08/22 07:18,2014/08/22 06:23,N12E73,M1.2,-910,132,0,79,0,25-50,
110320,2014/08/22 08:30,2014/08/22 08:41,2014/08/22 08:34,N09E74,C2.6,-902,133,0,0,0,no,
110330,2014/08/22 09:10,2014/08/22 09:28,2014/08/22 09:23,N09E75,C8.5,-904,133,0,0,0,12-25,
110340,2014/08/22 10:13,2014/08/22 10:46,2014/08/22 10:27,N12E01,C2.2,-29,75,0,66,0,12-25,
110350,2014/08/22 12:04,2014/08/22 12:11,2014/08/22 12:08,N12E72,C1.1,-903,156,0,15,0,no,
110360,2014/08/22 12:30,2014/08/22 13:08,2014/08/22 12:52,N12E71,C6.4,-891,129,0,41,0,12-25,
110370,2014/08/22 15:40,2014/08/22 16:02,2014/08/22 15:52,N08W03,C6.2,26,39,0,148,0,12-25,
110380,2014/08/23 01:49,2014/08/23 02:09,2014/08/23 01:56,N10E62,C3.5,-835,119,0,50,0,6-12,
110390,2014/08/23 07:04,2014/08/23 07:56,2014/08/23 07:47,N05E08,C1.4,-131,82,0,105,0,12-25,
110400,2014/08/23 11:19,2014/08/23 11:38,2014/08/23 11:27,N13E58,C1.3,-793,111,44,93,1,6-12,
110410,2014/08/23 14:07,2014/08/23 14:22,2014/08/23 14:13,N12E56,C2.2,-777,104,0,12,0,6-12,
110420,2014/08/23 17:19,2014/08/23 17:31,2014/08/23 17:27,N13W14,C6.0,234,98,10,4,0,no,
110430,2014/08/23 18:11,2014/08/23 18:22,2014/08/23 18:17,N10E54,C2.9,-748,95,0,57,0,12-25,
110440,2014/08/23 22:26,2014/08/23 22:54,2014/08/23 22:43,N12E60,C1.4,-806,141,0,0,0,6-12,
110450,2014/08/24 00:08,2014/08/24 00:27,2014/08/24 00:16,N08W20,C1.6,327,38,0,0,0,12-25,
110460,2014/08/24 00:49,2014/08/24 00:58,2014/08/24 00:52,S16E60,B7.4,-793,-304,0,0,0,6-12,
110470,2014/08/24 04:53,2014/08/24 05:11,2014/08/24 05:02,N12E45,C5.5,-659,98,143,144,0,3-6,
110480,2014/08/24 07:22,2014/08/24 07:29,2014/08/24 07:22,S04W69,C2.8,883,-66,0,0,0,3-6,
110490,2014/08/24 09:35,2014/08/24 09:53,2014/08/24 09:46,N13E48,C1.4,-692,99,0,0,0,no,
110500,2014/08/24 10:31,2014/08/24 11:08,2014/08/24 10:49,N12E44,C1.7,-644,96,2,0,0,3-6,
110510,2014/08/24 12:00,2014/08/24 12:25,2014/08/24 12:17,S09E76,M5.9,-909,-187,0,0,0,6-12,
110520,2014/08/24 17:20,2014/08/24 17:29,2014/08/24 17:24,S05W76,C1.8,918,-121,0,0,0,no,
110530,2014/08/24 18:47,2014/08/24 19:45,2014/08/24 19:23,N08W78,C2.2,921,119,0,0,0,12-25,
110540,2014/08/25 01:01,2014/08/25 01:18,2014/08/25 01:15,S13E46,C1.0,-655,-284,0,0,0,no,
110550,2014/08/25 04:12,2014/08/25 05:00,2014/08/25 04:50,N09E34,C1.0,-486,53,0,0,0,no,
110560,2014/08/25 05:40,2014/08/25 06:00,2014/08/25 05:48,N10E33,C1.1,-584,110,0,0,0,6-12,
110570,2014/08/25 07:44,2014/08/25 08:01,2014/08/25 07:55,N10W37,B9.7,575,75,0,0,0,no,
110580,2014/08/25 11:15,2014/08/25 11:20,2014/08/25 11:18,S12E41,B7.8,-586,-310,0,0,0,no,
110590,2014/08/25 12:49,2014/08/25 12:57,2014/08/25 12:52,N05W38,B7.6,575,25,0,0,0,no,
110600,2014/08/25 14:13,2014/08/25 14:31,2014/08/25 14:25,N09W41,C1.3,623,74,0,0,0,25-50,
110610,2014/08/25 14:46,2014/08/25 15:31,2014/08/25 15:11,N05W36,M2.0,595,9,0,0,0,25-50,
110620,2014/08/25 20:06,2014/08/25 20:29,2014/08/25 20:21,N07W43,M3.9,654,38,0,0,0,no,
110630,2014/08/26 02:34,2014/08/26 02:51,2014/08/26 02:41,N10W48,C4.0,704,83,0,0,0,no,
